FechaSalida,AnioSalida,MesSalida,DiaSalida,NumeroVuelo,AeropuertoSalida,AeropuertoLlegada,Ruta,TiempoVuelo,FuelTotal,Pasajeros,Maletas,PesoMaletas,PesoTotalTARGET
01/10/2016,2016,10,1,1145,MAN,SXF,MAN-SXF,91,3660,175,61,440,64016
01/10/2016,2016,10,1,1160,CTA,FCO,CTA-FCO,68,3280,182,27,350,66138
01/10/2016,2016,10,1,1183,LGW,SNN,LGW-SNN,64,2720,127,(null),(null),58447
01/10/2016,2016,10,1,1220,ATH,CHQ,ATH-CHQ,35,1682,163,12,150,60587
01/10/2016,2016,10,1,1225,CHQ,ATH,CHQ-ATH,34,1877,178,37,490,63090
01/10/2016,2016,10,1,1230,CHQ,ATH,CHQ-ATH,35,1780,171,18,230,62220
01/10/2016,2016,10,1,1246,ATH,BTS,ATH-BTS,114,5150,178,69,900,68532
01/10/2016,2016,10,1,1273,BFS,LGW,BFS-LGW,69,2940,161,(null),(null),62836
01/10/2016,2016,10,1,1298,CIA,ATH,CIA-ATH,89,3869,143,31,400,62728
01/10/2016,2016,10,1,1421,PSA,LIS,PSA-LIS,162,6920,162,45,590,66573
01/10/2016,2016,10,1,1625,LCJ,EMA,LCJ-EMA,140,5780,174,36,470,65467
01/10/2016,2016,10,1,1632,EMA,LIG,EMA-LIG,80,3397,149,43,540,64052
01/10/2016,2016,10,1,1703,BGY,EMA,BGY-EMA,102,4749,174,120,1559,67480
01/10/2016,2016,10,1,1788,STN,DTM,STN-DTM,53,2320,173,55,700,63344
01/10/2016,2016,10,1,1789,DTM,STN,DTM-STN,54,2667,183,59,770,64705
01/10/2016,2016,10,1,1924,EMA,MJV,EMA-MJV,149,6800,183,109,1420,71290
01/10/2016,2016,10,1,1928,CRL,AGP,CRL-AGP,150,6530,177,116,940,67281
01/10/2016,2016,10,1,1949,HHN,DUB,HHN-DUB,92,4150,183,95,1230,66555
01/10/2016,2016,10,1,1952,NRN,NYO,NRN-NYO,84,3696,173,38,490,64016
01/10/2016,2016,10,1,2037,PMI,DTM,PMI-DTM,120,5040,171,77,1000,65068
01/10/2016,2016,10,1,2048,LBA,ACE,LBA-ACE,244,10517,174,75,970,71562
01/10/2016,2016,10,1,2153,ALC,BHX,ALC-BHX,138,6220,184,134,1740,68369
01/10/2016,2016,10,1,2162,BHX,PMI,BHX-PMI,119,4998,183,72,930,66555
01/10/2016,2016,10,1,2163,PMI,BHX,PMI-BHX,122,5730,183,116,1510,68061
01/10/2016,2016,10,1,2270,BGY,ATH,BGY-ATH,124,5440,161,46,600,66356
01/10/2016,2016,10,1,2272,DUB,STN,DUB-STN,54,2680,169,75,975,63743
01/10/2016,2016,10,1,2283,STN,WMI,STN-WMI,108,4450,175,18,230,65304
01/10/2016,2016,10,1,2368,STN,OSR,STN-OSR,103,4680,182,43,560,68043
01/10/2016,2016,10,1,2404,STN,FMM,STN-FMM,76,3490,158,41,530,65267
01/10/2016,2016,10,1,2422,KUN,RHO,KUN-RHO,173,7910,170,44,580,72433
01/10/2016,2016,10,1,2432,STN,KRK,STN-KRK,108,5010,177,46,600,68424
01/10/2016,2016,10,1,2437,KRK,STN,KRK-STN,129,5477,179,31,410,66337
01/10/2016,2016,10,1,2468,STN,LCJ,STN-LCJ,102,4800,176,32,420,66972
01/10/2016,2016,10,1,2484,LBA,TSF,LBA-TSF,117,4580,162,53,690,64505
01/10/2016,2016,10,1,2507,BCN,CGN,BCN-CGN,108,4970,173,78,1010,67426
01/10/2016,2016,10,1,2508,CGN,BCN,CGN-BCN,117,5397,185,(null),(null),67498
01/10/2016,2016,10,1,2531,AGP,BLL,AGP-BLL,175,7250,163,113,1470,68206
01/10/2016,2016,10,1,2548,NYO,AGP,NYO-AGP,245,10916,183,107,1399,73702
01/10/2016,2016,10,1,2591,AGP,SXF,AGP-SXF,177,7344,174,100,1300,68514
01/10/2016,2016,10,1,2622,PDL,LIS,PDL-LIS,109,4920,180,(null),(null),66573
01/10/2016,2016,10,1,2672,STN,CIA,STN-CIA,125,5000,173,24,310,65050
01/10/2016,2016,10,1,2915,BRU,PMI,BRU-PMI,118,4790,176,68,850,65122
01/10/2016,2016,10,1,2921,BRU,BCN,BRU-BCN,101,4390,183,43,490,65503
01/10/2016,2016,10,1,2928,BRU,OPO,BRU-OPO,132,5600,178,29,437,67063
01/10/2016,2016,10,1,2931,BRU,LIS,BRU-LIS,151,6616,176,46,690,67553
01/10/2016,2016,10,1,2933,BRU,ALC,BRU-ALC,130,5580,176,50,650,65938
01/10/2016,2016,10,1,3064,TFN,BCN,TFN-BCN,172,7043,177,(null),(null),67752
01/10/2016,2016,10,1,3094,BVA,SKG,BVA-SKG,151,6381,161,36,470,65993
01/10/2016,2016,10,1,3096,GDN,WMI,GDN-WMI,84,3200,152,5,70,60442
01/10/2016,2016,10,1,3097,WMI,GDN,WMI-GDN,32,1460,151,(null),(null),58973
01/10/2016,2016,10,1,3104,DUB,AMS,DUB-AMS,68,2980,168,68,884,64179
01/10/2016,2016,10,1,3172,EMA,ACE,EMA-ACE,237,10594,185,138,1919,72850
01/10/2016,2016,10,1,3243,BZR,MAN,BZR-MAN,109,4940,178,84,1090,66392
01/10/2016,2016,10,1,3746,PSA,CRL,PSA-CRL,79,3380,170,49,640,63544
01/10/2016,2016,10,1,3805,MAN,FUE,MAN-FUE,239,10210,163,85,1110,69022
01/10/2016,2016,10,1,3842,STN,REU,STN-REU,112,5190,174,86,1170,67625
01/10/2016,2016,10,1,3883,MLA,LTN,MLA-LTN,181,8040,177,87,1130,69965
01/10/2016,2016,10,1,3899,WMI,BGY,WMI-BGY,112,5040,157,42,550,65975
01/10/2016,2016,10,1,3918,STN,PMO,STN-PMO,165,7140,171,75,980,68297
01/10/2016,2016,10,1,3956,CIA,OTP,CIA-OTP,95,4000,171,19,250,64759
01/10/2016,2016,10,1,4054,WMI,EMA,WMI-EMA,140,6113,175,48,620,66791
01/10/2016,2016,10,1,4079,ALC,NCL,ALC-NCL,151,6700,179,76,990,68133
01/10/2016,2016,10,1,4088,MAN,FAO,MAN-FAO,151,6839,186,117,1620,69603
01/10/2016,2016,10,1,4136,WMI,BRS,WMI-BRS,156,6690,175,51,670,67898
01/10/2016,2016,10,1,4195,BGY,STN,BGY-STN,98,3960,160,74,969,64886
01/10/2016,2016,10,1,4231,BGY,BVA,BGY-BVA,80,3720,171,18,240,64741
01/10/2016,2016,10,1,4322,KRK,BLQ,KRK-BLQ,89,3746,163,32,420,62927
01/10/2016,2016,10,1,4331,TFS,MAN,TFS-MAN,240,10730,183,109,1420,73956
01/10/2016,2016,10,1,4348,BLQ,SVQ,BLQ-SVQ,146,6130,177,35,460,66755
01/10/2016,2016,10,1,4468,EMA,AGP,EMA-AGP,149,6770,179,136,1770,68424
01/10/2016,2016,10,1,4477,HHN,SCQ,HHN-SCQ,130,5460,175,78,1010,66972
01/10/2016,2016,10,1,4582,PUY,HHN,PUY-HHN,65,3180,175,119,1549,64505
01/10/2016,2016,10,1,4584,OPO,BCN,OPO-BCN,85,3620,180,27,360,64106
01/10/2016,2016,10,1,4658,BGY,BRI,BGY-BRI,68,3020,184,10,130,63743
01/10/2016,2016,10,1,4704,BGY,BRI,BGY-BRI,70,2830,78,15,200,63036
01/10/2016,2016,10,1,4731,BGY,SXF,BGY-SXF,72,3380,170,39,510,66065
01/10/2016,2016,10,1,4741,GLA,WMI,GLA-WMI,132,5340,167,40,520,64397
01/10/2016,2016,10,1,4852,FCO,CTA,FCO-CTA,52,2630,180,27,360,66337
01/10/2016,2016,10,1,4857,CTA,FCO,CTA-FCO,59,2800,182,37,480,64197
01/10/2016,2016,10,1,4862,CRL,BLQ,CRL-BLQ,75,3100,147,45,390,61313
01/10/2016,2016,10,1,4869,PEG,CRL,PEG-CRL,95,3900,158,55,720,62510
01/10/2016,2016,10,1,4877,BGY,CAG,BGY-CAG,74,3200,182,38,500,65467
01/10/2016,2016,10,1,4879,CIA,CAG,CIA-CAG,51,2300,172,6,80,64070
